SeriesHash,SubjectID,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
3,MinMo-058,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17.0,4.0,38.614,193,"[0.997347, 0.0514474, -0.0515017, -0.0552365, 0.995647, -0.0750764]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-058\3\DICOM\DICOM_ax_t2_tse_Med_DRS_480_20260413000000_3.nii.gz
2,MinMo-058,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17.0,2.0,182.14,191,"[0.997342, 0.0515316, -0.051508, -0.0553209, 0.995642, -0.0750721]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-058\2\DICOM\DICOM_ax_t2_tse_20260413000000_2.nii.gz
9,MinMo-055,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999292, 0, 0.0376187, -0.00491044, 0.991444, 0.13044]","['derived', '_acq-spcR4p2_run-9_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\9\DICOM\DICOM_t1_space_sag_MPR_Tra_20260403000000_9.nii.gz
8,MinMo-055,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.998018, -0.0627286, 0.00501126, 0.029006, 0.387892, -0.921248]","['derived', '_acq-spcR4p2_run-8_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\8\DICOM\DICOM_t1_space_sag_MPR_Cor_20260403000000_8.nii.gz
7,MinMo-055,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.996073, 0.0873655, 0.0143763, -0.0200655, 0.380885, -0.924405]","['derived', '_acq-spcR4p2_run-7_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\7\DICOM\DICOM_t1_space_sag_MPR_Cor3mm_20260403000000_7.nii.gz
6,MinMo-055,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.0742305, 0.984864, 0.156629, 0.0560179, 0.152696, -0.986684]","['anat', '_acq-spcR4p2_run-6_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\6\DICOM\DICOM_t1_space_sag_20260403000000_6.nii.gz
3,MinMo-055,3.0,2D,*tse2d1_17,5.0,0.086,5.77,150,17.0,4.0,40.369,193,"[0.999535, 0.0126644, 0.02774, -0.0174469, 0.983583, 0.17961]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\3\DICOM\DICOM_ax_t2_tse_Med_DRS_480_20260403000000_3.nii.gz
23,MinMo-055,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.998018, -0.0627286, 0.00501126, 0.029006, 0.387892, -0.921248]","['derived', '_acq-spcR4p2_run-23_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\23\DICOM\DICOM_sag_t1post_space_MPR_Cor_20260403000000_23.nii.gz
22,MinMo-055,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999292, 0, 0.0376187, -0.00491044, 0.991444, 0.13044]","['derived', '_acq-spcR4p2_run-22_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\22\DICOM\DICOM_sag_t1post_space_MPR_Tra_20260403000000_22.nii.gz
21,MinMo-055,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.996073, 0.0873655, 0.0143763, -0.0200655, 0.380885, -0.924405]","['derived', '_acq-spcR4p2_run-21_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\21\DICOM\DICOM_sag_t1post_space_MPR_Cor3mm_20260403000000_21.nii.gz
20,MinMo-055,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999804, 0, 0.0198055, -0.00224194, 0.993572, 0.113176]","['derived', '_acq-spcR4p2_run-20_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\20\DICOM\DICOM_sag_t1post_space_MPR_Ax3mm_20260403000000_20.nii.gz
2,MinMo-055,3.0,2D,*tse2d1_17,5.0,0.088,5.91,150,17.0,2.0,195.009,191,"[0.999535, 0.0126644, 0.02774, -0.0174469, 0.983583, 0.17961]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\2\DICOM\DICOM_ax_t2_tse_20260403000000_2.nii.gz
19,MinMo-055,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.0742305, 0.984864, 0.156629, 0.0560179, 0.152696, -0.986684]","['anat', '_acq-spcR4p2_run-19_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\19\DICOM\DICOM_sag_t1post_space_20260403000000_19.nii.gz
16,MinMo-055,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17.0,2.0,89.017,191,"[0.998466, -0.0553684, -0.000657765, 0.0179358, 0.334631, -0.942178]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\16\DICOM\DICOM_cor_t2_tse_20260403000000_16.nii.gz
15,MinMo-055,3.0,3D,*swi3d1r,12.8,0.02,0.028,15,,2.0,,119,"[0.999535, 0.0126644, 0.02774, -0.0174469, 0.983583, 0.17961]","['derived', '_acq-swi3p2_run-15_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\15\DICOM\DICOM_ax_swi_ge3d_SWI_mIP_20260403000000_15.nii.gz
14,MinMo-055,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,245.645,119,"[0.999535, 0.0126644, 0.02774, -0.0174469, 0.983583, 0.17961]","['anat', '_acq-swi3p2_run-14_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-044-060\MinMo-055\14\DICOM\DICOM_ax_swi_ge3d_SWI_20260403000000_14.nii.gz
