SeriesHash,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
0000391B,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.99957, -0.029182, -0.00281417, 0.0293173, 0.994954, 0.0959488]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-032\DICOM\00006B9D\AA100FF4\AA57324C\0000391B\0000391B_ax_t2_tse_Med_DRS_480_20251231000000_3.nii.gz
00007322,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.999572, -0.0291309, -0.00280925, 0.0292661, 0.994956, 0.0959489]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-032\DICOM\00006B9D\AA100FF4\AA57324C\00007322\00007322_ax_t2_tse_20251231000000_2.nii.gz
0000BF75,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,88.997,191,"[0.995508, -0.0898871, 0.0297472, 0.062483, 0.387642, -0.91969]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-032\DICOM\00006B9D\AA100FF4\AA57324C\0000BF75\0000BF75_cor_t2_tse_20251231000000_16.nii.gz
00004533,3.0,2D,*tse2d1_17,5.0,0.088,5.13,150,17,2.0,169.267,191,"[1, 4.732e-12, 1.259e-12, -4.897e-12, 0.96638, 0.257118]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-031\DICOM\00007510\AAACB1C2\AAFAF247\00004533\00004533_ax_t2_tse_20251218000000_2.nii.gz
0000A949,3.0,2D,*tse2d1_17,5.0,0.088,5.13,150,17,2.0,169.269,191,"[1, 4.732e-12, 1.259e-12, -4.897e-12, 0.96638, 0.257118]","['anat', '_acq-tse2p2_run-4_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-031\DICOM\00007510\AAACB1C2\AAFAF247\0000A949\0000A949_ax_t2_tse_20251218000000_4.nii.gz
0000F5B7,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.599,193,"[1, 4.732e-12, 1.259e-12, -4.897e-12, 0.96638, 0.257118]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-031\DICOM\00007510\AAACB1C2\AAFAF247\0000F5B7\0000F5B7_ax_t2_tse_Med_DRS_480_20251218000000_3.nii.gz
00002F29,1.5,2D,*tse2d1_17,2.5,0.09,5.62,150,17,,213.54,191,"[0.999426, 4.897e-12, 0.033878, -4.894e-12, 1, -1.66e-13]","['anat', '_acq-tse2_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-030\DICOM\000048D9\AA1C8A45\AA433609\00002F29\00002F29_ax_t2_tse_20251217000000_3.nii.gz
000094B6,1.5,2D,*tse2d1_17,2.5,0.09,5.62,150,17,,213.54,191,"[0.994642, 4.897e-12, 0.103378, -4.87e-12, 1, -5.06e-13]","['anat', '_acq-tse2_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-028\DICOM\0000D216\AAE2A942\AA4A1C24\000094B6\000094B6_ax_t2_tse_20251217000000_3.nii.gz
000049A1,1.5,2D,*tse2d1_17,5.0,0.092,4.78,150,17,2.0,157.717,191,"[1, 4.767e-12, 1.121e-12, -4.897e-12, 0.973441, 0.228939]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-027\DICOM\0000885D\AA3EE150\AA0C8827\000049A1\000049A1_ax_t2_tse_20251217000000_2.nii.gz
0000FA0B,1.5,2D,*tse2d1_17,5.0,0.092,6.36,150,17,2.0,88.984,191,"[0.999901, 0.0140508, -0.000636826, -0.00633856, 0.40973, -0.912185]","['anat', '_acq-tse2p2_run-13_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-027\DICOM\0000885D\AA3EE150\AA0C8827\0000FA0B\0000FA0B_cor_t2_tse_20251217000000_13.nii.gz
00005996,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.995676, 0.0208928, -0.0905143, -0.0173796, 0.999071, 0.0394296]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-026\DICOM\000011EE\AAE027E8\AAD3A7CA\00005996\00005996_ax_t2_tse_Med_DRS_480_20251204000000_3.nii.gz
0000A6C5,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.995676, 0.0208928, -0.0905143, -0.0173796, 0.999071, 0.0394296]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-026\DICOM\000011EE\AAE027E8\AAD3A7CA\0000A6C5\0000A6C5_ax_t2_tse_20251204000000_2.nii.gz
