Count of FilePath,Column Labels,,,,,,,
Row Labels,*spcir_210ns,*spcir_220ns,*spcR_40ns,*spcR_42ns,*spcR_50ns,*swi3d1r,*tse2d1_17,Grand Total
Min-Mo-001,,,,,,,2,2
Min-Mo-002,,1,,5,,4,4,14
Min-Mo-003,,1,,10,,4,3,18
Min-Mo-004,,1,,5,,4,3,13
Min-Mo-005,,1,,,5,4,3,13
Min-Mo-006,,1,,10,,4,3,18
Min-Mo-007,,1,,5,,4,3,13
Min-Mo-008,,1,,4,,4,3,12
Min-Mo-009,,4,,3,,4,2,13
Min-Mo-010,,,,,,,2,2
Min-Mo-011,,1,,6,,4,3,14
Min-Mo-012,,1,,5,,3,4,13
Min-Mo-013,,1,,1,,4,3,9
Min-Mo-014,,1,,5,,3,4,13
Min-Mo-015,,4,,,,4,2,10
Min-Mo-016,,,,,,,2,2
Min-Mo-017,,1,,1,,3,3,8
Min-Mo-018,,,,,,,2,2
Min-Mo-019,,1,,10,,4,3,18
Min-Mo-020,,,,,,,2,2
Min-Mo-021,,1,,5,,4,3,13
Min-Mo-022,,,,10,,,3,13
Min-Mo-023,,1,,5,,4,3,13
Min-Mo-024,,4,,,,4,2,10
Min-Mo-025,3,,5,,,3,2,13
Min-Mo-026,,1,,1,,4,3,9
Min-Mo-027,3,,5,,,3,2,13
Min-Mo-028,,,,,,,1,1
Min-Mo-029,6,,4,,,3,2,15
Min-Mo-030,,,,,,,1,1
Min-Mo-031,,,,,,,3,3
Min-Mo-032,,1,,5,,4,3,13
Min-Mo-033,,,,10,,,1,11
Min-Mo-034,,1,,5,,4,3,13
Min-Mo-035,,1,,10,,4,3,18
Min-Mo-036,,,,,,,2,2
Min-Mo-037,,4,,,,3,2,9
Min-Mo-038,,1,,5,,4,3,13
Min-Mo-040,3,,4,,,3,3,13
Min-Mo-041,,4,,,,4,2,10
Min-Mo-042,,4,,,,3,2,9
Min-Mo-043,,1,,2,,4,3,10
Min-Mo-044,,2,,10,,6,6,24
Min-Mo-045,,2,,20,,8,6,36
Min-Mo-046,,,,10,,8,6,24
Min-Mo-047,,,,10,,8,6,24
Min-Mo-048,,8,,,,8,4,20
Min-Mo-049,,,,20,,6,8,34
Min-Mo-050,6,,16,,,6,4,32
Min-Mo-051,,,,10,,8,6,24
Min-Mo-052,,,,10,,6,6,22
Min-Mo-053,,,,,,,2,2
Min-Mo-054,,,,,,,4,4
Min-Mo-055,,,,20,,8,6,34
Min-Mo-056,,,,10,,8,6,24
Min-Mo-057,6,,10,,,8,4,28
Min-Mo-058,,,,,,,4,4
Min-Mo-059,,,,10,,8,4,22
Min-Mo-060,,,,,,,4,4
Min-Mo-061,,,,,,,2,2
Min-Mo-062,,,,,,,1,1
Min-Mo-063,,,,,,,3,3
Min-Mo-064,3,,5,,,3,3,14
Min-Mo-065,3,,5,,,3,2,13
Min-Mo-066,1,,1,,,3,3,8
Min-Mo-067,3,,4,,,3,2,12
Min-Mo-068,3,,5,,,3,2,13
Min-Mo-069,3,,5,,,3,2,13
Min-Mo-070,3,,5,,,3,4,15
Min-Mo-071,3,,5,,,3,2,13
Grand Total,49,57,79,258,5,235,220,903
,14,30,14,33,1,52,70,70
